balanced_accuracy,macro_recall,macro_f1,T1_recall,T2_recall,T3_recall,T4_recall,T4_precision,T4_f1,n_pred_T4,pair,weight_a_petaware,weight_b_final,thr_ge_T2,thr_ge_T3,thr_ge_T4
0.5812716408138467,0.5812716408138467,0.5642001226424691,0.7245508982035929,0.5089605734767025,0.45054945054945056,0.6410256410256411,0.5434782608695652,0.5882352941176471,138,fair_hu_geom_petaware_final,0.8,0.2,0.64,0.44,0.35
0.5808436005219857,0.5808436005219857,0.5622464492163304,0.7305389221556886,0.4982078853046595,0.44505494505494503,0.6495726495726496,0.5428571428571428,0.5914396887159533,140,fair_hu_geom_petaware_final,0.45,0.55,0.65,0.45,0.34
0.5789822635244695,0.5789822635244695,0.5639633944276444,0.7245508982035929,0.5089605734767025,0.46703296703296704,0.6153846153846154,0.5454545454545454,0.5783132530120482,132,fair_hu_geom_petaware_final,0.85,0.15,0.64,0.44,0.36
0.5779138874560934,0.5779138874560934,0.5590606185303473,0.7245508982035929,0.5089605734767025,0.42857142857142855,0.6495726495726496,0.5277777777777778,0.5823754789272031,144,fair_hu_geom_petaware_final,0.9,0.1,0.64,0.44,0.34
0.5779138874560934,0.5779138874560934,0.5589956582728648,0.7245508982035929,0.5089605734767025,0.42857142857142855,0.6495726495726496,0.5277777777777778,0.5823754789272031,144,fair_hu_geom_petaware_final,0.75,0.25,0.64,0.45,0.34
0.577311759560166,0.577311759560166,0.5628748029496045,0.6946107784431138,0.5340501792114696,0.43956043956043955,0.6410256410256411,0.5319148936170213,0.5813953488372093,141,fair_hu_geom_petaware_final,0.5,0.5,0.63,0.45,0.34
0.577234252987585,0.577234252987585,0.5472718508033625,0.8203592814371258,0.40860215053763443,0.45604395604395603,0.6239316239316239,0.5367647058823529,0.5770750988142292,136,fair_hu_geom_petaware_final,0.55,0.45,0.7,0.45,0.35
0.5768640257002242,0.5768640257002242,0.5634948945576013,0.7005988023952096,0.5268817204301075,0.45604395604395603,0.6239316239316239,0.5367647058823529,0.5770750988142292,136,fair_hu_geom_petaware_final,0.6,0.4,0.63,0.45,0.35
0.5768640257002242,0.5768640257002242,0.5634072413084008,0.7005988023952096,0.5268817204301075,0.45604395604395603,0.6239316239316239,0.5367647058823529,0.5770750988142292,136,fair_hu_geom_petaware_final,0.65,0.35,0.63,0.45,0.35
0.5765486337970402,0.5765486337970402,0.5630435050884621,0.6946107784431138,0.5340501792114696,0.44505494505494503,0.6324786324786325,0.5362318840579711,0.5803921568627451,138,fair_hu_geom_petaware_final,0.4,0.6,0.63,0.45,0.34
