feature_table,feature_set,model,mode,n,balanced_accuracy,macro_recall,macro_f1,T1_recall,T2_recall,T3_recall,T4_recall,T4_precision,T4_f1,n_pred_T4,w_T1,w_T2,w_T3,w_T4,thr_ge_T2,thr_ge_T3,thr_ge_T4,source_file
pred_oof_headneck_hu_realgeom,baseline_plus_hu_geom,rf_leaf1,proba_weight_tuned,745,0.5731043230801778,0.5731043230801778,0.549824856944064,0.7365269461077845,0.5125448028673835,0.3681318681318681,0.6752136752136753,0.5096774193548387,0.5808823529411765,155,1.0,0.6,0.7999999999999999,1.1,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_final,baseline_plus_hu,rf_subsample_leaf2,tuned_posthoc_t3_to_t4,745,0.5727927637576082,0.5727927637576082,0.5180238434794455,0.8083832335329342,0.3942652329749104,0.3021978021978022,0.7863247863247863,0.4532019704433497,0.575,203,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline_plus_hu_geom,rf_leaf1,tuned_posthoc_t3_to_t4,745,0.5726464476223023,0.5726464476223023,0.5453160469089846,0.7365269461077845,0.5125448028673835,0.3406593406593406,0.7008547008547008,0.4969696969696969,0.5815602836879432,165,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_final,baseline_plus_hu,rf_leaf1,tuned_posthoc_t3_to_t4,745,0.5726065593025222,0.5726065593025222,0.5346217467976647,0.8263473053892215,0.4121863799283154,0.3681318681318681,0.6837606837606838,0.5095541401273885,0.583941605839416,157,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_final,baseline_plus_hu,rf_leaf1,proba_weight_tuned,745,0.572453934149897,0.572453934149897,0.5370482080483756,0.8263473053892215,0.4121863799283154,0.3846153846153846,0.6666666666666666,0.52,0.5842696629213483,150,1.0,0.5,0.6,0.7999999999999999,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline_plus_hu_geom,rf_leaf2,ordinal_threshold_tuned,745,0.5724492171276023,0.5724492171276023,0.554016987498378,0.7305389221556886,0.4982078853046595,0.4285714285714285,0.6324786324786325,0.5323741007194245,0.578125,139,,,,,0.6499999999999999,0.4499999999999999,0.35,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline_plus_hu_geom,rf_leaf1,tuned_posthoc_t3_to_t4,745,0.5724177015223954,0.5724177015223954,0.5137894674108819,0.7904191616766467,0.4229390681003584,0.2472527472527472,0.8290598290598291,0.473170731707317,0.6024844720496895,205,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline_plus_hu,rf_leaf1,proba_weight_tuned,745,0.5720219728332535,0.5720219728332535,0.5557415671572025,0.6526946107784432,0.5340501792114696,0.4175824175824176,0.6837606837606838,0.5128205128205128,0.5860805860805861,156,1.0,0.7,1.0,1.4,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline_plus_hu,rf_subsample_leaf2,tuned_posthoc_t3_to_t4,745,0.5714694621155892,0.5714694621155892,0.5194132170004875,0.7305389221556886,0.4265232974910394,0.2912087912087912,0.8376068376068376,0.4495412844036697,0.5850746268656717,218,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline_plus_hu,rf_subsample_leaf2,proba_weight_tuned,745,0.5707063363524635,0.5707063363524635,0.5198828632723725,0.7305389221556886,0.4265232974910394,0.2967032967032967,0.8290598290598291,0.449074074074074,0.5825825825825826,216,1.0,0.7,0.8999999999999999,1.4999999999999998,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
