balanced_accuracy,macro_recall,macro_f1,T1_recall,T2_recall,T3_recall,T4_recall,T4_precision,T4_f1,n_pred_T4,dataset,strat_feature,q33,q66,thr_ge_T2,thr_ge_T4,thr_ge_T3_small,thr_ge_T3_mid,thr_ge_T3_large
0.57880472659785,0.57880472659785,0.5593972733853618,0.718562874251497,0.4910394265232975,0.45604395604395603,0.6495726495726496,0.5277777777777778,0.5823754789272031,144,petaware_hu_geom,gtvp_bbox_y_mm,19.53124046325684,28.32029867172241,0.64,0.34,0.44,0.44,0.32
0.5772914763642985,0.5772914763642985,0.5633461048363949,0.6826347305389222,0.5483870967741935,0.42857142857142855,0.6495726495726496,0.5277777777777778,0.5823754789272031,144,petaware_hu_geom,gtvp_volume_mm3,5153.403369323508,11820.371549658827,0.62,0.34,0.46,0.44,0.44
0.5772914763642985,0.5772914763642985,0.5633461048363949,0.6826347305389222,0.5483870967741935,0.42857142857142855,0.6495726495726496,0.5277777777777778,0.5823754789272031,144,petaware_hu_geom,fast_geom_pca_major_mm,67.73336696451472,92.90968282899152,0.62,0.34,0.44,0.46,0.44
0.5768139073383424,0.5768139073383424,0.5632876249053431,0.6826347305389222,0.5519713261648745,0.4230769230769231,0.6495726495726496,0.5277777777777778,0.5823754789272031,144,petaware_hu_geom,gtvp_bbox_longest_mm,32.69999980926514,42.50999677658081,0.62,0.34,0.52,0.44,0.44
0.5763954190166283,0.5763954190166283,0.5623274865726164,0.6826347305389222,0.5448028673835126,0.42857142857142855,0.6495726495726496,0.5277777777777778,0.5823754789272031,144,petaware_hu_geom,gtvp_bbox_shortest_mm,19.53124046325684,26.36717462539673,0.62,0.34,0.44,0.44,0.44
0.5763954190166283,0.5763954190166283,0.5623274865726164,0.6826347305389222,0.5448028673835126,0.42857142857142855,0.6495726495726496,0.5277777777777778,0.5823754789272031,144,petaware_hu_geom,fast_geom_bbox_3d_diag_mm,90.01191274456326,124.79624723922971,0.62,0.34,0.44,0.44,0.44
0.5763954190166283,0.5763954190166283,0.5623274865726164,0.6826347305389222,0.5448028673835126,0.42857142857142855,0.6495726495726496,0.5277777777777778,0.5823754789272031,144,petaware_hu_geom,fast_geom_equivalent_diameter_mm,31.801886982075285,38.802385990947414,0.62,0.34,0.44,0.44,0.44
0.5763954190166283,0.5763954190166283,0.5623274865726164,0.6826347305389222,0.5448028673835126,0.42857142857142855,0.6495726495726496,0.5277777777777778,0.5823754789272031,144,petaware_hu_geom,fast_geom_max_axial_eq_diam_mm,26.97010584956231,34.124335463196196,0.62,0.34,0.44,0.44,0.44
0.5696466278125539,0.5696466278125539,0.5489643758556543,0.7065868263473054,0.5017921146953405,0.41208791208791207,0.6581196581196581,0.506578947368421,0.5724907063197026,152,final_hu_geom,gtvp_bbox_y_mm,19.53124046325684,28.32029867172241,0.64,0.32,0.44,0.46,0.32
0.5691099780823559,0.5691099780823559,0.5489123316018845,0.7065868263473054,0.5161290322580645,0.3956043956043956,0.6581196581196581,0.506578947368421,0.5724907063197026,152,final_hu_geom,gtvp_volume_mm3,5153.403369323508,11820.371549658827,0.64,0.32,0.52,0.46,0.32
0.5673178633870154,0.5673178633870154,0.5467842390793056,0.7065868263473054,0.5089605734767025,0.3956043956043956,0.6581196581196581,0.506578947368421,0.5724907063197026,152,final_hu_geom,fast_geom_pca_major_mm,69.8811361892602,95.52394903580822,0.64,0.32,0.46,0.42,0.42
0.5668993750653012,0.5668993750653012,0.5462798593561232,0.7065868263473054,0.5017921146953405,0.4010989010989011,0.6581196581196581,0.506578947368421,0.5724907063197026,152,final_hu_geom,gtvp_bbox_longest_mm,32.69999980926514,42.50999677658081,0.64,0.32,0.48,0.44,0.42
0.5664808867435871,0.5664808867435871,0.5455083097426605,0.7065868263473054,0.4946236559139785,0.4065934065934066,0.6581196581196581,0.506578947368421,0.5724907063197026,152,final_hu_geom,gtvp_bbox_shortest_mm,19.53124046325684,26.36717462539673,0.64,0.32,0.44,0.44,0.38
0.5664218060393451,0.5664218060393451,0.5457503977597378,0.7065868263473054,0.5053763440860215,0.3956043956043956,0.6581196581196581,0.506578947368421,0.5724907063197026,152,final_hu_geom,fast_geom_bbox_3d_diag_mm,98.1880322831383,134.0331474012488,0.64,0.32,0.44,0.46,0.42
0.566003317717631,0.566003317717631,0.5451188138862338,0.7065868263473054,0.4982078853046595,0.4010989010989011,0.6581196581196581,0.506578947368421,0.5724907063197026,152,final_hu_geom,fast_geom_max_axial_eq_diam_mm,27.00340878925216,34.13003228798557,0.64,0.32,0.42,0.44,0.42
0.566003317717631,0.566003317717631,0.5450633263229784,0.7065868263473054,0.4982078853046595,0.4010989010989011,0.6581196581196581,0.506578947368421,0.5724907063197026,152,final_hu_geom,fast_geom_equivalent_diameter_mm,31.885073127500018,38.862894146636734,0.64,0.32,0.42,0.42,0.44
